CARRERA,PERIODO,NIVEL,PARALELO,ASIGNATURA,PRIMER_PARCIAL,SEGUNDO_PARCIAL,RECUPERACION,NOTA_FINAL,ASISTENCIA,ESTADO_FINAL
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,TERCERO,G,BASE DE DATOS AVANZADA,8.2,6.13,,7.16,100,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,TERCERO,G,PROGRAMACION VISUAL,7.29,8.66,,7.98,100,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,TERCERO,G,INGLES B1.1 (TECHNICAL),8.86,9.7,,9.28,100,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,TERCERO,G,FUNDAMENTOS DE ADMINISTRACION,9.6,10,,9.8,100,APROBADO
DISEÑO GRÁFICO CON NIVEL EQUIVALENTE A TECNOLOGÍA SUPERIOR,2023-1P,SEGUNDO,F,RELACIONES PUBLICAS,10,8.15,,9.07,100,APROBADO
DISEÑO GRÁFICO CON NIVEL EQUIVALENTE A TECNOLOGÍA SUPERIOR,2023-1P,SEGUNDO,F,PSICOLOGIA DEL COLOR,10,10,,10,100,APROBADO
DISEÑO GRÁFICO CON NIVEL EQUIVALENTE A TECNOLOGÍA SUPERIOR,2023-1P,SEGUNDO,F,DIBUJO ARTISTICO,8.5,8.3,,8.4,100,APROBADO
DISEÑO GRÁFICO CON NIVEL EQUIVALENTE A TECNOLOGÍA SUPERIOR,2023-1P,SEGUNDO,F,FOTOGRAFIA,8.7,9.11,,8.9,100,APROBADO
DISEÑO GRÁFICO CON NIVEL EQUIVALENTE A TECNOLOGÍA SUPERIOR,2023-1P,SEGUNDO,F,ETICA LABORAL Y PROFESIONAL,8.85,9.6,,9.23,95.83,APROBADO
DISEÑO GRÁFICO CON NIVEL EQUIVALENTE A TECNOLOGÍA SUPERIOR,2023-1P,SEGUNDO,F,SOFTWARE DE ILUSTRACION,9.7,9.42,,9.56,100,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,TERCERO,D,CALCULO DIFERENCIAL E INTEGRAL,7.6,8.3,,7.95,92.19,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,TERCERO,D,BASE DE DATOS AVANZADA,6.25,9.2,,7.73,96.25,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,TERCERO,D,DISEÑO MULTIMEDIA,8.1,,,8.54,90.63,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,TERCERO,D,FUNDAMENTOS DE ADMINISTRACION,9.6,10,,9.8,95.83,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,TERCERO,D,INGLES B1.1 (TECHNICAL),8.18,9.7,,8.94,98.44,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,TERCERO,D,PROGRAMACION VISUAL,9.13,9.3,,9.22,93.75,APROBADO
DISEÑO GRÁFICO CON NIVEL EQUIVALENTE A TECNOLOGÍA SUPERIOR,2023-1P,QUINTO,D,DISEÑO Y PROGRAMACION WEB,8.85,10,,9.43,100,APROBADO
DISEÑO GRÁFICO CON NIVEL EQUIVALENTE A TECNOLOGÍA SUPERIOR,2023-1P,QUINTO,D,EMPRENDIMIENTO,7.65,9,,8.32,93.75,APROBADO
DISEÑO GRÁFICO CON NIVEL EQUIVALENTE A TECNOLOGÍA SUPERIOR,2023-1P,QUINTO,D,IMAGEN COORPORTAVIA,10,9.3,,9.65,89.58,APROBADO
DISEÑO GRÁFICO CON NIVEL EQUIVALENTE A TECNOLOGÍA SUPERIOR,2023-1P,QUINTO,D,MULTIMEDIA,8.8,9.51,,9.16,96.25,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,QUINTO,C,ETICA PROFESIONAL,8.8,8.32,,8.56,93.75,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,QUINTO,C,TENDENCIAS ACTUALES DE PROGRAMACION,6.02,7.98,,7,76.56,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,QUINTO,C,CALIDAD DE SOFTWARE,9.1,8,,8.55,82.5,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,QUINTO,C,EMPRENDIMIENTO,7.4,9.4,,8.4,81.25,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,QUINTO,C,FUNDAMENTOS DE REDES Y CONECTIVIDAD,9.8,10,,9.9,100,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,TERCERO,A,PROGRAMACION VISUAL,7.78,5.6,9,8.08,95,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,TERCERO,A,INGLES B1.1 (TECHNICAL),7.61,10,,8.81,87.5,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,TERCERO,A,FUNDAMENTOS DE ADMINISTRACION,9.7,10,,9.85,97.97,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,TERCERO,A,DISEÑO MULTIMEDIA,7.44,9.2,,8.32,95.31,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,TERCERO,A,CALCULO DIFERENCIAL E INTEGRAL,9.2,10,,9.6,96.88,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,TERCERO,A,BASE DE DATOS AVANZADA,8.4,8,,8.2,90,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,SEGUNDO,F,PROGRAMACION ORIENTADA A OBJETO,7.1,9.4,,8.25,88.75,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,SEGUNDO,F,METODOLOGIAS DEL DESARROLLO DE SOFTWARE,1.8,4,10,7.16,78.13,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,SEGUNDO,F,ALGEBRA Y TRIGONOMETRIA,3.83,3.6,10,7.49,75,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,SEGUNDO,F,LENGUAJE Y COMUNICACIÓN,3,2.8,,1.16,33.33,REPROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,SEGUNDO,F,BASE DE DATOS,1.6,2.4,,0.8,67.5,REPROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,SEGUNDO,F,INGLES A2 (INTERMEDIO),2,4.04,8.7,6.43,60.94,REPROBADO
TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,CUARTO,D,PRESUPUESTO,9.2,9.25,,9.23,100,APROBADO
TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,CUARTO,D,GERENCIA DE SERVICIOS Y VENTAS,8.18,9.6,,8.89,100,APROBADO
TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,CUARTO,D,EVALUACION Y FORMULACION DE PROYECTOS DE INVERSION,8.58,9.24,,8.91,97.5,APROBADO
TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,CUARTO,D,DISEÑO PUBLICITARIO,9.13,9.8,,9.47,100,APROBADO
TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,CUARTO,D,PROYECTO DE MARKETING II,9.85,9.65,,9.75,100,APROBADO
TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,CUARTO,D,DERECHO MERCANTIL,10,9.4,,9.7,100,APROBADO
TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,CUARTO,D,GERENCIA DE SERVICIOS Y VENTAS,6.6,8.35,,7.48,100,APROBADO
TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,CUARTO,D,PROYECTO DE MARKETING II,10,9.31,,9.66,100,APROBADO
TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,CUARTO,D,DERECHO MERCANTIL,9.5,9.4,,9.45,100,APROBADO
TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,CUARTO,D,DISEÑO PUBLICITARIO,7.38,9.44,,8.41,100,APROBADO
TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,CUARTO,D,EVALUACION Y FORMULACION DE PROYECTOS DE INVERSION,9.13,9.54,,9.34,100,APROBADO
TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,CUARTO,D,PRESUPUESTO,9.25,10,,9.63,100,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,QUINTO,A,TENDENCIAS ACTUALES DE PROGRAMACION,9.2,9.6,,9.4,100,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,QUINTO,A,FUNDAMENTOS DE REDES Y CONECTIVIDAD,8.78,9.32,,9.05,98.96,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,QUINTO,A,ETICA PROFESIONAL,8.8,9.58,,9.19,100,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,QUINTO,A,EMPRENDIMIENTO,7.65,9.53,,8.59,93.75,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,QUINTO,A,CALIDAD DE SOFTWARE,9.2,10,,9.6,98.75,APROBADO
NT-TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,PRIMERO,E,NT-EXPRESION ORAL Y ESCRITA,6.9,9,,7.95,100,APROBADO
NT-TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,PRIMERO,E,NT-CONTABILIDAD GENERAL,9.05,10,,9.53,88.54,APROBADO
NT-TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,PRIMERO,E,NT-ENTORNO EMPRESARIAL,8.9,9.2,,9.05,100,APROBADO
NT-TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,PRIMERO,E,NT-TICS I,9.4,9.6,,9.5,96.88,APROBADO
NT-TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,PRIMERO,E,NT-MATEMATICAS,10,8.85,,9.43,96.88,APROBADO
NT-TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,PRIMERO,E,NT-FUNDAMENTOS DE MARKETING,9.36,8.59,,8.98,100,APROBADO
TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,SEGUNDO,F,TICS II,7.65,7.18,,7.42,100,APROBADO
TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,SEGUNDO,F,COMPORTAMIENTO Y PSICOLOGIA DEL CONSUMIDOR,8.04,8.2,,8.12,95,APROBADO
TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,SEGUNDO,F,METODOS ESTADISTICOS PARA LA TOMA DE DECISIONES,7.6,7,,7.3,96.88,APROBADO
TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,SEGUNDO,F,INVESTIGACION DE MERCADO,6.48,9.17,,7.83,87.5,APROBADO
TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,SEGUNDO,F,MATEMATICA FINANCIERA,7.5,10,,8.75,100,APROBADO
TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,SEGUNDO,F,METODOLOGIA DE LA INVESTIGACION,9.5,10,,9.75,100,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,SEGUNDO,B,INGLES A2 (INTERMEDIO),8,7.58,,7.79,98.44,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,SEGUNDO,B,METODOLOGIAS DEL DESARROLLO DE SOFTWARE,7.2,10,,8.6,90.63,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,SEGUNDO,B,PROGRAMACION ORIENTADA A OBJETO,6.65,9.6,,8.13,100,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,SEGUNDO,B,ALGEBRA Y TRIGONOMETRIA,7.1,8.6,,7.85,96.88,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,SEGUNDO,B,BASE DE DATOS,7.11,6.85,9,8.19,92.5,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,SEGUNDO,B,LENGUAJE Y COMUNICACIÓN,8.13,9.6,,8.87,100,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,TERCERO,C,FUNDAMENTOS DE ADMINISTRACION,0,0,,0,39.58,REPROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,TERCERO,C,DISEÑO MULTIMEDIA,0,3,,0.6,75,REPROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,TERCERO,C,INGLES B1.1 (TECHNICAL),0,0,0,0,39.06,REPROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,TERCERO,C,PROGRAMACION VISUAL,0,0,,0,72.5,REPROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,TERCERO,C,BASE DE DATOS AVANZADA,0,0,,0,10,REPROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,TERCERO,C,CALCULO DIFERENCIAL E INTEGRAL,0,0,,0,54.69,REPROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,TERCERO,I,PROGRAMACION VISUAL,4.55,4.83,8.55,7.01,100,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,TERCERO,I,DISEÑO MULTIMEDIA,7.01,6.73,8,7.55,92.19,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,TERCERO,I,FUNDAMENTOS DE ADMINISTRACION,10,7.7,,8.85,81.25,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,TERCERO,I,INGLES B1.1 (TECHNICAL),7.8,8.13,,7.97,76.56,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,TERCERO,I,BASE DE DATOS AVANZADA,5.45,6.06,10,8.3,81.25,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,TERCERO,I,CALCULO DIFERENCIAL E INTEGRAL,6.42,10,,8.21,90.63,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,TERCERO,D,BASE DE DATOS AVANZADA,8.26,9.3,,8.78,96.25,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,TERCERO,D,INGLES B1.1 (TECHNICAL),8.96,8.92,,8.94,96.88,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,TERCERO,D,FUNDAMENTOS DE ADMINISTRACION,9.6,10,,9.8,95.83,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,TERCERO,D,PROGRAMACION VISUAL,8.38,8.45,,8.41,93.75,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,TERCERO,D,DISEÑO MULTIMEDIA,9.6,,,9.27,89.06,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,TERCERO,D,CALCULO DIFERENCIAL E INTEGRAL,8.9,9,,8.95,92.19,APROBADO
DISEÑO GRÁFICO CON NIVEL EQUIVALENTE A TECNOLOGÍA SUPERIOR,2023-1P,CUARTO,C,DISEÑO EDITORIAL,7.8,9.03,,8.41,100,APROBADO
DISEÑO GRÁFICO CON NIVEL EQUIVALENTE A TECNOLOGÍA SUPERIOR,2023-1P,CUARTO,C,TALLER DE PRODUCCIÓN,8.7,9,,8.85,95.83,APROBADO
DISEÑO GRÁFICO CON NIVEL EQUIVALENTE A TECNOLOGÍA SUPERIOR,2023-1P,CUARTO,C,PUBLICIDAD Y MARKETING,9.93,9.4,,9.66,98.75,APROBADO
DISEÑO GRÁFICO CON NIVEL EQUIVALENTE A TECNOLOGÍA SUPERIOR,2023-1P,CUARTO,C,DISEÑO Y ANIMACION 3D,9.55,9.3,,9.43,95,APROBADO
DISEÑO GRÁFICO CON NIVEL EQUIVALENTE A TECNOLOGÍA SUPERIOR,2023-1P,QUINTO,C,DISEÑO Y PROGRAMACION WEB,9.69,10,,9.84,100,APROBADO
DISEÑO GRÁFICO CON NIVEL EQUIVALENTE A TECNOLOGÍA SUPERIOR,2023-1P,QUINTO,C,MULTIMEDIA,9.4,9.4,,9.4,100,APROBADO
DISEÑO GRÁFICO CON NIVEL EQUIVALENTE A TECNOLOGÍA SUPERIOR,2023-1P,QUINTO,C,IMAGEN COORPORTAVIA,9.08,9.2,,9.14,95.83,APROBADO
DISEÑO GRÁFICO CON NIVEL EQUIVALENTE A TECNOLOGÍA SUPERIOR,2023-1P,QUINTO,C,EMPRENDIMIENTO,6.79,9,,7.9,96.88,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,QUINTO,B,EMPRENDIMIENTO,8.23,8.8,,8.52,93.75,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,QUINTO,B,ETICA PROFESIONAL,7,9.4,,8.2,100,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,QUINTO,B,FUNDAMENTOS DE REDES Y CONECTIVIDAD,7.19,8.52,,7.86,80.21,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,QUINTO,B,TENDENCIAS ACTUALES DE PROGRAMACION,8.11,6.51,,7.31,96.09,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,QUINTO,B,CALIDAD DE SOFTWARE,8.8,8.4,,8.6,96.25,APROBADO
DISEÑO GRÁFICO CON NIVEL EQUIVALENTE A TECNOLOGÍA SUPERIOR,2023-1P,QUINTO,C,EMPRENDIMIENTO,4.44,4.46,9,7.18,76.56,APROBADO
DISEÑO GRÁFICO CON NIVEL EQUIVALENTE A TECNOLOGÍA SUPERIOR,2023-1P,QUINTO,C,DISEÑO Y PROGRAMACION WEB,6.33,7.86,,7.1,76.04,APROBADO
DISEÑO GRÁFICO CON NIVEL EQUIVALENTE A TECNOLOGÍA SUPERIOR,2023-1P,QUINTO,C,MULTIMEDIA,8.75,3.2,8,7.19,88.75,APROBADO
DISEÑO GRÁFICO CON NIVEL EQUIVALENTE A TECNOLOGÍA SUPERIOR,2023-1P,QUINTO,C,IMAGEN COORPORTAVIA,6.24,7.95,,7.1,92.71,APROBADO
DISEÑO GRÁFICO CON NIVEL EQUIVALENTE A TECNOLOGÍA SUPERIOR,2023-1P,SEGUNDO,F,DIBUJO ARTISTICO,9,9,,9,95,APROBADO
DISEÑO GRÁFICO CON NIVEL EQUIVALENTE A TECNOLOGÍA SUPERIOR,2023-1P,SEGUNDO,F,ETICA LABORAL Y PROFESIONAL,9.45,9.6,,9.52,93.75,APROBADO
DISEÑO GRÁFICO CON NIVEL EQUIVALENTE A TECNOLOGÍA SUPERIOR,2023-1P,SEGUNDO,F,FOTOGRAFIA,9.34,8.36,,8.85,100,APROBADO
DISEÑO GRÁFICO CON NIVEL EQUIVALENTE A TECNOLOGÍA SUPERIOR,2023-1P,SEGUNDO,F,PSICOLOGIA DEL COLOR,10,10,,10,100,APROBADO
DISEÑO GRÁFICO CON NIVEL EQUIVALENTE A TECNOLOGÍA SUPERIOR,2023-1P,SEGUNDO,F,RELACIONES PUBLICAS,9.7,7.1,,8.4,93.75,APROBADO
DISEÑO GRÁFICO CON NIVEL EQUIVALENTE A TECNOLOGÍA SUPERIOR,2023-1P,SEGUNDO,F,SOFTWARE DE ILUSTRACION,8.6,6.78,,7.69,91.67,APROBADO
NT-TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,PRIMERO,D,NT-MATEMATICAS,0,0,,0,0,REPROBADO
NT-TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,PRIMERO,D,NT-CONTABILIDAD GENERAL,0,0,,0,47.92,REPROBADO
NT-TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,PRIMERO,D,NT-TICS I,0,0,,0,0,REPROBADO
NT-TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,PRIMERO,D,NT-ENTORNO EMPRESARIAL,0,0,,0,29.17,REPROBADO
NT-TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,PRIMERO,D,NT-EXPRESION ORAL Y ESCRITA,0,0,,0,75,REPROBADO
NT-TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,PRIMERO,D,NT-FUNDAMENTOS DE MARKETING,2.4,0,,0.48,25,REPROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,CUARTO,B,PROGRAMACION DE APLICACIONES WEB,6.11,9.6,,7.86,98.96,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,CUARTO,B,LEGISLACION INFORMATICA,4,7.1,9,7.62,75,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,CUARTO,B,INGLES B1.2 (SPECIFIC PURPOSE),4.67,7.88,9.4,8.15,81.25,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,CUARTO,B,ESTADISTICA DESCRIPTIVA,2.4,8.05,9,7.49,95.31,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,CUARTO,B,DIVERSIDAD Y CULTURA,8.8,9,,8.9,93.75,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,CUARTO,B,DESARROLLO DE APLICACIONES MOVILES,4.05,8.39,8,7.29,93.75,APROBADO
TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,SEGUNDO,B,METODOLOGIA DE LA INVESTIGACION,9.6,6.29,,7.95,92.5,APROBADO
TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,SEGUNDO,B,COMPORTAMIENTO Y PSICOLOGIA DEL CONSUMIDOR,8.4,10,,9.2,100,APROBADO
TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,SEGUNDO,B,INVESTIGACION DE MERCADO,8.06,9.21,,8.64,100,APROBADO
TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,SEGUNDO,B,MATEMATICA FINANCIERA,7.73,9.8,,8.77,95.83,APROBADO
TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,SEGUNDO,B,TICS II,9.4,8.5,,8.95,100,APROBADO
TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,SEGUNDO,B,METODOS ESTADISTICOS PARA LA TOMA DE DECISIONES,10,9.8,,9.9,100,APROBADO
DISEÑO GRÁFICO CON NIVEL EQUIVALENTE A TECNOLOGÍA SUPERIOR,2023-1P,TERCERO,E,SEMIOTICA,8,7.6,,7.8,81.25,APROBADO
DISEÑO GRÁFICO CON NIVEL EQUIVALENTE A TECNOLOGÍA SUPERIOR,2023-1P,TERCERO,E,TECNICAS DE IMPRESION,7,5.3,8,7.26,87.5,APROBADO
DISEÑO GRÁFICO CON NIVEL EQUIVALENTE A TECNOLOGÍA SUPERIOR,2023-1P,TERCERO,E,SOFTWARE DE TRATAMIENTO DE IMAGEN,3.2,3.2,4.5,3.98,85.42,REPROBADO
DISEÑO GRÁFICO CON NIVEL EQUIVALENTE A TECNOLOGÍA SUPERIOR,2023-1P,TERCERO,E,EDICION DE AUDIO Y VIDEO PREMIER,9.4,6.69,,8.05,100,APROBADO
DISEÑO GRÁFICO CON NIVEL EQUIVALENTE A TECNOLOGÍA SUPERIOR,2023-1P,TERCERO,E,ENVASE EMPAQUE Y EMBALAJE,7.4,7.73,,7.57,75,APROBADO
TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,QUINTO,B,TECNICAS DE NEGOCIOS Y COMERCIO INTERNACIONAL,9.3,9.15,,9.23,100,APROBADO
TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,QUINTO,B,NEUROMARKETING,8.96,10,,9.48,96.88,APROBADO
TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,QUINTO,B,COMERCIO DIGITAL Y COMUNITY MANAGMENT,10,9.8,,9.9,100,APROBADO
TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,QUINTO,B,COMPORTAMIENTO PROFESIONAL Y AMBIENTAL,7.2,9.3,,8.25,100,APROBADO
TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,QUINTO,B,MARKETING ESTRATEGICO,9.7,9.5,,9.6,100,APROBADO
TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,CUARTO,E,PROYECTO DE MARKETING II,8.2,9.49,,8.84,92.5,APROBADO
TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,CUARTO,E,EVALUACION Y FORMULACION DE PROYECTOS DE INVERSION,9.85,9.1,,9.48,95,APROBADO
TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,CUARTO,E,DISEÑO PUBLICITARIO,9.5,7.4,,8.45,75.94,APROBADO
TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,CUARTO,E,DERECHO MERCANTIL,9.6,7.2,,8.4,93.75,APROBADO
TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,CUARTO,E,GERENCIA DE SERVICIOS Y VENTAS,7.55,8.71,,8.13,95.31,APROBADO
TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,CUARTO,E,PRESUPUESTO,7.85,9.6,,8.73,100,APROBADO
TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,CUARTO,G,GERENCIA DE SERVICIOS Y VENTAS,9.2,9.2,,9.2,100,APROBADO
TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,CUARTO,G,PRESUPUESTO,9.6,9.2,,9.4,100,APROBADO
TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,CUARTO,G,PROYECTO DE MARKETING II,8.6,9,,8.8,85,APROBADO
TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,CUARTO,G,EVALUACION Y FORMULACION DE PROYECTOS DE INVERSION,9.2,10,,9.6,91.25,APROBADO
TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,CUARTO,G,DISEÑO PUBLICITARIO,8.6,9.2,,8.9,88.75,APROBADO
TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,CUARTO,G,DERECHO MERCANTIL,10,9.8,,9.9,100,APROBADO
NT-TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,PRIMERO,C,NT-TICS I,7.4,8,,7.7,100,APROBADO
NT-TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,PRIMERO,C,NT-FUNDAMENTOS DE MARKETING,7.59,5.65,10,8.65,100,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,QUINTO,C,TENDENCIAS ACTUALES DE PROGRAMACION,9.62,8.79,,9.2,99.22,APROBADO
